fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,Id
9.9,0.63,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,536
8.1,0.825,0.24,2.1,0.084,13,0.9972,3.37,0.77,10.7,537
12.9,0.35,0.49,5.8,0.066,35,1.0014,3.2,0.66,12,538
11.2,0.5,0.74,5.15,0.1,17,0.9996,3.22,0.62,11.2,539
9.2,0.59,0.24,3.3,0.101,47,0.9988,3.26,0.67,9.6,540
9.5,0.46,0.49,6.3,0.064,17,0.9988,3.21,0.73,11,541
9.3,0.715,0.24,2.1,0.07,20,0.9966,3.12,0.59,9.9,542
11.2,0.66,0.24,2.5,0.085,53,0.9993,3.06,0.72,11,543
14.3,0.31,0.74,1.8,0.075,15,1.0008,2.86,0.79,8.4,544
9.1,0.47,0.49,2.6,0.094,106,0.9982,3.08,0.59,9.1,545
7.5,0.55,0.24,2,0.078,28,0.9983,3.45,0.78,9.5,546
10.6,0.31,0.49,2.5,0.067,21,0.9987,3.26,0.86,10.7,547
12.4,0.35,0.49,2.6,0.079,69,0.9994,3.12,0.75,10.4,548
6.8,0.51,0.01,2.1,0.074,25,0.9958,3.33,0.56,9.5,550
9.4,0.43,0.24,2.8,0.092,45,0.998,3.19,0.73,10,551
9.5,0.46,0.24,2.7,0.092,44,0.998,3.12,0.74,10,552
5,1.04,0.24,1.6,0.05,96,0.9934,3.74,0.62,11.5,553
15.5,0.645,0.49,4.2,0.095,23,1.00315,2.92,0.74,11.1,554
10.9,0.53,0.49,4.6,0.118,17,1.0002,3.07,0.56,11.7,556
15.6,0.645,0.49,4.2,0.095,23,1.00315,2.92,0.74,11.1,557
13,0.47,0.49,4.3,0.085,47,1.0021,3.3,0.68,12.7,559
12.7,0.6,0.49,2.8,0.075,19,0.9994,3.14,0.57,11.4,560
9,0.54,0.49,2.9,0.094,110,0.9982,3.08,0.61,9.2,562
7.6,0.29,0.49,2.7,0.092,60,0.9971,3.31,0.61,10.1,563
13,0.47,0.49,4.3,0.085,47,1.0021,3.3,0.68,12.7,564
12.7,0.6,0.49,2.8,0.075,19,0.9994,3.14,0.57,11.4,565
8.7,0.7,0.24,2.5,0.226,15,0.9991,3.32,0.6,9,567
9.8,0.5,0.49,2.6,0.25,20,0.999,3.31,0.79,10.7,568
6.2,0.36,0.24,2.2,0.095,42,0.9946,3.57,0.57,11.7,569
11.5,0.35,0.49,3.3,0.07,37,1.0003,3.32,0.91,11,570
10.2,0.24,0.49,2.4,0.075,28,0.9978,3.14,0.61,10.4,572
9.9,0.5,0.24,2.3,0.103,14,0.9978,3.34,0.52,10,576
8.8,0.44,0.49,2.8,0.083,111,0.9982,3.3,0.6,9.5,577
8.8,0.47,0.49,2.9,0.085,110,0.9982,3.29,0.6,9.8,578
10.6,0.31,0.49,2.2,0.063,40,0.9976,3.14,0.51,9.8,579
12.3,0.5,0.49,2.2,0.089,14,1.0002,3.19,0.44,9.6,580
12.3,0.5,0.49,2.2,0.089,14,1.0002,3.19,0.44,9.6,581
12,0.28,0.49,1.9,0.074,21,0.9976,2.98,0.66,9.9,583
7.3,0.73,0.24,1.9,0.108,102,0.9967,3.26,0.59,9.3,587
5,0.42,0.24,2,0.06,50,0.9917,3.72,0.74,14,588
9,0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,590
6.6,0.39,0.49,1.7,0.07,149,0.9922,3.12,0.5,11.5,591
9,0.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,592
9.9,0.49,0.58,3.5,0.094,43,1.0004,3.29,0.58,9,593
8.9,0.595,0.41,7.9,0.086,109,0.9998,3.27,0.57,9.3,595
12.4,0.4,0.51,2,0.059,24,0.9994,3.04,0.6,9.3,596
8.5,0.585,0.18,2.1,0.078,30,0.9967,3.2,0.48,9.8,598
7.7,0.835,0,2.6,0.081,14,0.9975,3.3,0.52,9.3,602
8.3,0.58,0.13,2.9,0.096,63,0.9984,3.17,0.62,9.1,604
8.8,0.48,0.41,3.3,0.092,52,0.9982,3.31,0.53,10.5,607
10.1,0.65,0.37,5.1,0.11,65,1.0026,3.32,0.64,10.4,608
6.3,0.36,0.19,3.2,0.075,39,0.9956,3.56,0.52,12.7,609
8.8,0.24,0.54,2.5,0.083,57,0.9983,3.39,0.54,9.2,610
13.2,0.38,0.55,2.7,0.081,16,1.0006,2.98,0.54,9.4,611
7.5,0.64,0,2.4,0.077,29,0.9965,3.32,0.6,10,612
9.6,0.6,0.5,2.3,0.079,71,0.9997,3.5,0.57,9.7,616
11.5,0.31,0.51,2.2,0.079,28,0.9982,3.03,0.93,9.8,617
11.3,0.37,0.41,2.3,0.088,16,0.9988,3.09,0.8,9.3,619
8.3,0.54,0.24,3.4,0.076,112,0.9976,3.27,0.61,9.4,620
8.2,0.56,0.23,3.4,0.078,104,0.9976,3.28,0.62,9.4,621
10,0.58,0.22,1.9,0.08,32,0.9974,3.13,0.55,9.5,622
6.8,0.69,0,5.6,0.124,58,0.9997,3.46,0.72,10.2,625
8.8,0.6,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,626
8.8,0.6,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,627
8.7,0.54,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,628
7.6,0.685,0.23,2.3,0.111,84,0.9964,3.21,0.61,9.3,629
8.7,0.54,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,630
10.4,0.28,0.54,2.7,0.105,19,0.9988,3.25,0.63,9.5,631
7.6,0.41,0.14,3,0.087,43,0.9964,3.32,0.57,10.5,632
10.1,0.935,0.22,3.4,0.105,86,1.001,3.43,0.64,11.3,633
7.9,0.35,0.21,1.9,0.073,102,0.9964,3.27,0.58,9.5,634
8.7,0.84,0,1.4,0.065,33,0.9954,3.27,0.55,9.7,635
9.6,0.88,0.28,2.4,0.086,147,0.9979,3.24,0.53,9.4,636
9.5,0.885,0.27,2.3,0.084,145,0.9978,3.24,0.53,9.4,637
8.9,0.29,0.35,1.9,0.067,57,0.997,3.18,1.36,10.3,639
9.9,0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,640
9.9,0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,642
9.9,0.54,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,644
8.3,0.845,0.01,2.2,0.07,14,0.9967,3.32,0.58,11,647
8.7,0.48,0.3,2.8,0.066,28,0.9964,3.33,0.67,11.2,648
6.7,0.42,0.27,8.6,0.068,148,0.9948,3.16,0.57,11.3,649
10.7,0.43,0.39,2.2,0.106,32,0.9986,2.89,0.5,9.6,650
15.9,0.36,0.65,7.5,0.096,71,0.9976,2.98,0.84,14.9,652
9.4,0.33,0.59,2.8,0.079,30,0.9976,3.12,0.54,12,653
8.6,0.47,0.47,2.4,0.074,29,0.9979,3.08,0.46,9.5,654
9.7,0.55,0.17,2.9,0.087,53,1.0004,3.14,0.61,9.4,655
10.7,0.43,0.39,2.2,0.106,32,0.9986,2.89,0.5,9.6,656
12,0.5,0.59,1.4,0.073,42,0.998,2.92,0.68,10.5,657
7.2,0.52,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,658
7.2,0.52,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,660
7.5,0.42,0.31,1.6,0.08,42,0.9978,3.31,0.64,9,661
7.2,0.57,0.06,1.6,0.076,27,0.9972,3.36,0.7,9.6,662
9.4,0.59,0.14,2,0.084,48,0.9981,3.14,0.56,9.7,665
8.3,0.49,0.36,1.8,0.222,16,0.998,3.18,0.6,9.5,666
11.3,0.34,0.45,2,0.082,15,0.9988,2.94,0.66,9.2,667
11.3,0.34,0.45,2,0.082,15,0.9988,2.94,0.66,9.2,669
8.2,0.73,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,671
8.2,0.73,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,673
10.8,0.4,0.41,2.2,0.084,17,0.9984,3.08,0.67,9.3,676
8.6,0.8,0.11,2.3,0.084,31,0.9979,3.4,0.48,9.9,677
8.3,0.78,0.1,2.6,0.081,87,0.9983,3.48,0.53,10,678
10.8,0.26,0.45,3.3,0.06,49,0.9972,3.13,0.54,9.6,679
8,0.45,0.23,2.2,0.094,29,0.9962,3.21,0.49,10.2,681
8.5,0.46,0.31,2.25,0.078,58,0.998,3.33,0.54,9.8,682
8.1,0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,683
9.8,0.98,0.32,2.3,0.078,152,0.998,3.25,0.48,9.4,684
8.1,0.78,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,685
7.7,0.66,0.04,1.6,0.039,9,0.9962,3.4,0.47,9.4,688
8.1,0.38,0.48,1.8,0.157,17,0.9976,3.3,1.05,9.4,689
9.2,0.92,0.24,2.6,0.087,93,0.9998,3.48,0.54,9.8,691
8.6,0.49,0.51,2,0.422,62,0.9979,3.03,1.17,9,692
9,0.48,0.32,2.8,0.084,122,0.9984,3.32,0.62,9.4,693
9,0.47,0.31,2.7,0.084,125,0.9984,3.31,0.61,9.4,694
5.1,0.47,0.02,1.3,0.034,44,0.9921,3.9,0.62,12.8,695
7,0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,697
9.4,0.615,0.28,3.2,0.087,72,1.0001,3.31,0.53,9.7,698
11.8,0.38,0.55,2.1,0.071,19,0.9986,3.11,0.62,10.8,699
10.6,1.02,0.43,2.9,0.076,88,0.9984,3.08,0.57,10.1,700
7,0.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,701
7,0.64,0.02,2.1,0.067,23,0.997,3.47,0.67,9.4,702
7.5,0.38,0.48,2.6,0.073,84,0.9972,3.32,0.7,9.6,703
9.1,0.765,0.04,1.6,0.078,14,0.998,3.29,0.54,9.7,704
8.4,1.035,0.15,6,0.073,54,0.999,3.37,0.49,9.9,705
7,0.78,0.08,2,0.093,19,0.9956,3.4,0.47,10,706
7.4,0.49,0.19,3,0.077,37,0.9966,3.37,0.51,10.5,707
7.8,0.545,0.12,2.5,0.068,35,0.996,3.34,0.61,11.6,708
10.6,1.025,0.43,2.8,0.08,84,0.9985,3.06,0.57,10.1,710
8.9,0.565,0.34,3,0.093,112,0.9998,3.38,0.61,9.5,711
9.9,0.74,0.28,2.6,0.078,77,0.998,3.28,0.51,9.8,714
7.6,0.46,0.11,2.6,0.079,49,0.9968,3.21,0.57,10,717
8.4,0.56,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,718
7.1,0.66,0,3.9,0.086,45,0.9976,3.46,0.54,9.5,719
8.4,0.56,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,720
8.9,0.48,0.24,2.85,0.094,106,0.9982,3.1,0.53,9.2,721
7.1,0.31,0.3,2.2,0.053,127,0.9965,2.94,1.62,9.5,723
9,0.66,0.17,3,0.077,13,0.9976,3.29,0.55,10.4,725
8.1,0.72,0.09,2.8,0.084,49,0.9994,3.43,0.72,11.1,726
6.4,0.57,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,727
6.4,0.57,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,728
6.4,0.865,0.03,3.2,0.071,58,0.995,3.61,0.49,12.7,729
9.5,0.55,0.66,2.3,0.387,37,0.9982,3.17,0.67,9.6,730
8.9,0.875,0.13,3.45,0.088,14,0.9994,3.44,0.52,11.5,731
7.3,0.835,0.03,2.1,0.092,19,0.9966,3.39,0.47,9.6,732
7,0.45,0.34,2.7,0.082,72,0.998,3.55,0.6,9.5,733
7.7,0.56,0.2,2,0.075,39,0.9987,3.48,0.62,9.3,734
7.7,0.965,0.1,2.1,0.112,22,0.9963,3.26,0.5,9.5,736
8.2,0.59,0,2.5,0.093,58,1.0002,3.5,0.65,9.3,737
9,0.69,0,2.4,0.088,38,0.999,3.35,0.6,9.3,739
8.3,0.76,0.29,4.2,0.075,16,0.9965,3.45,0.68,11.5,740
7.9,0.72,0.01,1.9,0.076,32,0.99668,3.39,0.54,9.6,769
7.1,0.59,0.02,2.3,0.082,94,0.99744,3.55,0.53,9.7,770
9.4,0.685,0.26,2.4,0.082,143,0.9978,3.28,0.55,9.4,771
9.5,0.57,0.27,2.3,0.082,144,0.99782,3.27,0.55,9.4,772
7.9,0.4,0.29,1.8,0.157,44,0.9973,3.3,0.92,9.5,773
7.2,1,0,3,0.102,16,0.99586,3.43,0.46,10,775
6.9,0.635,0.17,2.4,0.241,18,0.9961,3.4,0.59,10.3,777
8.3,0.43,0.3,3.4,0.079,34,0.99788,3.36,0.61,10.5,778
7.1,0.52,0.03,2.6,0.076,92,0.99745,3.5,0.6,9.8,779
7,0.57,0,2,0.19,45,0.99676,3.31,0.6,9.4,780
6.5,0.46,0.14,2.4,0.114,37,0.99732,3.66,0.65,9.8,781
7.1,0.59,0.01,2.5,0.077,85,0.99746,3.55,0.59,9.8,784
9.9,0.35,0.41,2.3,0.083,61,0.9982,3.21,0.5,9.5,785
10,0.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,787
10,0.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,788
8.6,0.63,0.17,2.9,0.099,119,0.998,3.09,0.52,9.3,789
7.4,0.37,0.43,2.6,0.082,82,0.99708,3.33,0.68,9.7,790
8.8,0.64,0.17,2.9,0.084,130,0.99818,3.23,0.54,9.6,791
7.1,0.61,0.02,2.5,0.081,87,0.99745,3.48,0.6,9.7,792
7.7,0.6,0,2.6,0.055,13,0.99639,3.38,0.56,10.8,793
10.1,0.27,0.54,2.3,0.065,26,0.99531,3.17,0.53,12.5,794
10.8,0.89,0.3,2.6,0.132,60,0.99786,2.99,1.18,10.2,795
8.7,0.46,0.31,2.5,0.126,64,0.99746,3.1,0.74,9.6,796
9.3,0.37,0.44,1.6,0.038,42,0.99526,3.24,0.81,10.8,797
9.4,0.5,0.34,3.6,0.082,14,0.9987,3.29,0.52,10.7,799
8.6,0.55,0.09,3.3,0.068,17,0.99735,3.23,0.44,10,801
5.1,0.585,0,1.7,0.044,86,0.99264,3.56,0.94,12.9,802
7.7,0.56,0.08,2.5,0.114,46,0.9971,3.24,0.66,9.6,803
8.4,0.52,0.22,2.7,0.084,18,0.99682,3.26,0.57,9.9,804
8.4,0.25,0.39,2,0.041,10,0.99386,3.27,0.71,12.5,806
7.4,0.53,0.12,1.9,0.165,12,0.99702,3.26,0.86,9.2,808
7.6,0.48,0.31,2.8,0.07,15,0.99693,3.22,0.55,10.3,809
7.3,0.49,0.1,2.6,0.068,14,0.99562,3.3,0.47,10.5,810
12.9,0.5,0.55,2.8,0.072,24,1.00012,3.09,0.68,10.9,811
6.9,0.39,0.24,2.1,0.102,7,0.99462,3.44,0.58,11.4,813
12.6,0.41,0.54,2.8,0.103,41,0.99939,3.21,0.76,11.3,814
9.1,0.66,0.15,3.2,0.097,59,0.99976,3.28,0.54,9.6,819
7,0.685,0,1.9,0.099,22,0.99606,3.34,0.6,9.7,820
4.9,0.42,0,2.1,0.048,42,0.99154,3.71,0.74,14,821
6.7,0.54,0.13,2,0.076,36,0.9973,3.61,0.64,9.8,823
7.1,0.48,0.28,2.8,0.068,16,0.99682,3.24,0.53,10.3,824
7.5,0.27,0.34,2.3,0.05,8,0.9951,3.4,0.64,11,826
7.1,0.46,0.14,2.8,0.076,37,0.99624,3.36,0.49,10.7,827
7.5,0.685,0.07,2.5,0.058,9,0.99632,3.38,0.55,10.9,830
5.9,0.61,0.08,2.1,0.071,24,0.99376,3.56,0.77,11.1,831
11.6,0.47,0.44,1.6,0.147,51,0.99836,3.38,0.86,9.9,833
6.7,0.28,0.28,2.4,0.012,100,0.99064,3.26,0.39,11.7,836
6.7,0.28,0.28,2.4,0.012,100,0.99064,3.26,0.39,11.7,837
10.1,0.31,0.35,1.6,0.075,28,0.99672,3.24,0.83,11.2,838
6.6,0.66,0,3,0.115,31,0.99629,3.45,0.63,10.3,841
10.6,0.5,0.45,2.6,0.119,68,0.99708,3.23,0.72,10.9,842
7.1,0.685,0.35,2,0.088,92,0.9963,3.28,0.62,9.4,843
6.4,0.64,0.21,1.8,0.081,31,0.99689,3.59,0.66,9.8,846
7.4,0.68,0.16,1.8,0.078,39,0.9977,3.5,0.7,9.9,847
6.4,0.64,0.21,1.8,0.081,31,0.99689,3.59,0.66,9.8,848
9.3,0.43,0.44,1.9,0.085,22,0.99708,3.28,0.55,9.5,850
9.3,0.43,0.44,1.9,0.085,22,0.99708,3.28,0.55,9.5,851
9.3,0.36,0.39,1.5,0.08,55,0.99652,3.47,0.73,10.9,853
9.3,0.36,0.39,1.5,0.08,55,0.99652,3.47,0.73,10.9,854
9.3,0.36,0.39,1.5,0.08,55,0.99652,3.47,0.73,10.9,856
8.2,0.26,0.34,2.5,0.073,47,0.99594,3.4,0.78,11.3,857
11.7,0.28,0.47,1.7,0.054,32,0.99686,3.15,0.67,10.6,858
7.2,0.62,0.06,2.7,0.077,85,0.99746,3.51,0.54,9.5,860
7.5,0.42,0.32,2.7,0.067,25,0.99628,3.24,0.44,10.4,862
7.2,0.62,0.06,2.5,0.078,84,0.99746,3.51,0.53,9.7,863
7.2,0.635,0.07,2.6,0.077,86,0.99748,3.51,0.54,9.7,865
6.9,0.56,0.03,1.5,0.086,46,0.99522,3.53,0.57,10.6,871
7.3,0.35,0.24,2,0.067,48,0.99576,3.43,0.54,10,872
8.8,0.31,0.4,2.8,0.109,16,0.99614,3.31,0.79,11.8,875
7.7,0.715,0.01,2.1,0.064,43,0.99371,3.41,0.57,11.8,877
7.6,0.715,0,2.1,0.068,35,0.99533,3.48,0.65,11.4,881
8.4,0.31,0.29,3.1,0.194,26,0.99536,3.22,0.78,12,882
8.8,0.61,0.19,4,0.094,69,0.99787,3.22,0.5,10,884
8.9,0.75,0.14,2.5,0.086,30,0.99824,3.34,0.64,10.5,885
9,0.8,0.12,2.4,0.083,28,0.99836,3.33,0.65,10.4,886
6.8,0.57,0,2.5,0.072,64,0.99491,3.43,0.56,11.2,888
10.7,0.9,0.34,6.6,0.112,99,1.00289,3.22,0.68,9.3,889
7.2,0.66,0.03,2.3,0.078,86,0.99743,3.53,0.57,9.7,891
10.1,0.45,0.23,1.9,0.082,18,0.99774,3.22,0.65,9.3,892
7.2,0.66,0.03,2.3,0.078,86,0.99743,3.53,0.57,9.7,893
7.2,0.63,0.03,2.2,0.08,88,0.99745,3.53,0.58,9.8,894
7.1,0.59,0.01,2.3,0.08,43,0.9955,3.42,0.58,10.7,895
8.3,0.31,0.39,2.4,0.078,43,0.99444,3.31,0.77,12.5,896
7.1,0.59,0.01,2.3,0.08,43,0.9955,3.42,0.58,10.7,897
8.3,0.31,0.39,2.4,0.078,43,0.99444,3.31,0.77,12.5,898
8.9,0.31,0.36,2.6,0.056,39,0.99562,3.4,0.69,11.8,900
7.4,0.635,0.1,2.4,0.08,33,0.99736,3.58,0.69,10.8,901
7.4,0.635,0.1,2.4,0.08,33,0.99736,3.58,0.69,10.8,902
6.8,0.59,0.06,6,0.06,18,0.9962,3.41,0.59,10.8,904
7.2,0.54,0.27,2.6,0.084,78,0.9964,3.39,0.71,11,906
6.1,0.56,0,2.2,0.079,9,0.9948,3.59,0.54,11.5,907
7.4,0.52,0.13,2.4,0.078,61,0.99528,3.43,0.59,10.8,908
9.3,0.38,0.48,3.8,0.132,11,0.99577,3.23,0.57,13.2,910
9.1,0.28,0.46,9,0.114,9,0.99901,3.18,0.6,10.9,911
10,0.46,0.44,2.9,0.065,8,0.99674,3.33,0.62,12.2,912
8.6,0.315,0.4,2.2,0.079,6,0.99512,3.27,0.67,11.9,915
5.3,0.715,0.19,1.5,0.161,62,0.99395,3.62,0.61,11,916
6.8,0.41,0.31,8.8,0.084,45,0.99824,3.38,0.64,10.1,917
8.4,0.36,0.32,2.2,0.081,79,0.9964,3.3,0.72,11,918
8.4,0.62,0.12,1.8,0.072,46,0.99504,3.38,0.89,11.8,919
9.6,0.41,0.37,2.3,0.091,23,0.99786,3.24,0.56,10.5,920
8.4,0.62,0.12,1.8,0.072,46,0.99504,3.38,0.89,11.8,922
8.6,0.47,0.27,2.3,0.055,28,0.99516,3.18,0.8,11.2,924
8.6,0.22,0.36,1.9,0.064,77,0.99604,3.47,0.87,11,925
9.4,0.24,0.33,2.3,0.061,73,0.99786,3.47,0.9,10.2,926
8.4,0.67,0.19,2.2,0.093,75,0.99736,3.2,0.59,9.2,927
8.6,0.47,0.27,2.3,0.055,28,0.99516,3.18,0.8,11.2,928
8.7,0.33,0.38,3.3,0.063,19,0.99468,3.3,0.73,12,929
7.4,0.61,0.01,2,0.074,38,0.99748,3.48,0.65,9.8,931
7.6,0.4,0.29,1.9,0.078,66,0.9971,3.45,0.59,9.5,932
6.6,0.61,0.01,1.9,0.08,25,0.99746,3.69,0.73,10.5,934
8.8,0.3,0.38,2.3,0.06,72,0.99543,3.39,0.72,11.8,936
6.2,0.46,0.17,1.6,0.073,11,0.99425,3.61,0.54,11.4,939
9.9,0.27,0.49,5,0.082,17,0.99484,3.19,0.52,12.5,941
10.1,0.43,0.4,2.6,0.092,52,0.99834,3.22,0.64,10,942
8.3,0.3,0.49,3.8,0.09,24,0.99498,3.27,0.64,12.1,944
10.2,0.44,0.58,4.1,0.092,24,0.99745,3.29,0.99,12,946
8.3,0.28,0.48,2.1,0.093,12,0.99408,3.26,0.62,12.4,947
8.9,0.12,0.45,1.8,0.075,21,0.99552,3.41,0.76,11.9,949
8.9,0.12,0.45,1.8,0.075,21,0.99552,3.41,0.76,11.9,950
8.3,0.28,0.48,2.1,0.093,12,0.99408,3.26,0.62,12.4,951
8.2,0.31,0.4,2.2,0.058,10,0.99536,3.31,0.68,11.2,952
10.2,0.34,0.48,2.1,0.052,9,0.99458,3.2,0.69,12.1,953
8.5,0.21,0.52,1.9,0.09,23,0.99648,3.36,0.67,10.4,955
9,0.36,0.52,2.1,0.111,10,0.99568,3.31,0.62,11.3,956
6.4,0.57,0.12,2.3,0.12,36,0.99519,3.47,0.71,11.3,958
8.5,0.47,0.27,1.9,0.058,38,0.99518,3.16,0.85,11.1,960
7.1,0.56,0.14,1.6,0.078,18,0.99592,3.27,0.62,9.3,961
6.6,0.57,0.02,2.1,0.115,16,0.99654,3.38,0.69,9.5,962
8.5,0.47,0.27,1.9,0.058,38,0.99518,3.16,0.85,11.1,964
8.5,0.66,0.2,2.1,0.097,113,0.99733,3.13,0.48,9.2,967
9,0.4,0.43,2.4,0.068,46,0.9943,3.2,0.6,12.2,968
10.4,0.26,0.48,1.9,0.066,10,0.99724,3.33,0.87,10.9,971
8.8,0.33,0.41,5.9,0.073,13,0.99658,3.3,0.62,12.1,974
7.2,0.41,0.3,2.1,0.083,72,0.997,3.44,0.52,9.4,975
8.4,0.59,0.29,2.6,0.109,119,0.99801,3.15,0.5,9.1,977
7,0.4,0.32,3.6,0.061,29,0.99416,3.28,0.49,11.3,978
9.1,0.5,0.3,1.9,0.065,17,0.99774,3.32,0.71,10.5,980
9.5,0.86,0.26,1.9,0.079,28,0.99712,3.25,0.62,10,981
7.3,0.52,0.32,2.1,0.07,70,0.99418,3.34,0.82,12.9,982
9.1,0.5,0.3,1.9,0.065,17,0.99774,3.32,0.71,10.5,983
7.4,0.58,0,2,0.064,11,0.99562,3.45,0.58,11.3,985
7.1,0.36,0.3,1.6,0.08,70,0.99693,3.44,0.5,9.4,987
7.7,0.39,0.12,1.7,0.097,27,0.99596,3.16,0.49,9.4,988
9.7,0.295,0.4,1.5,0.073,21,0.99556,3.14,0.51,10.9,989
7.7,0.39,0.12,1.7,0.097,27,0.99596,3.16,0.49,9.4,990
7.1,0.34,0.28,2,0.082,68,0.99694,3.45,0.48,9.4,991
7.1,0.34,0.28,2,0.082,68,0.99694,3.45,0.48,9.4,993
7.7,0.6,0.06,2,0.079,41,0.99697,3.39,0.62,10.1,995
8.9,0.84,0.34,1.4,0.05,10,0.99554,3.12,0.48,9.1,998
6.4,0.69,0,1.65,0.055,12,0.99162,3.47,0.53,12.9,999
7.5,0.43,0.3,2.2,0.062,12,0.99495,3.44,0.72,11.5,1000
8.2,0.43,0.29,1.6,0.081,45,0.99603,3.25,0.54,10.3,1004
6.8,0.36,0.32,1.8,0.067,8,0.9928,3.36,0.55,12.8,1005
9.1,0.29,0.33,2.05,0.063,27,0.99516,3.26,0.84,11.7,1006
9.1,0.3,0.34,2,0.064,25,0.99516,3.26,0.84,11.7,1007
8.9,0.35,0.4,3.6,0.11,24,0.99549,3.23,0.7,12,1008
8.9,0.28,0.45,1.7,0.067,12,0.99354,3.25,0.55,12.3,1010
8.9,0.32,0.31,2,0.088,19,0.9957,3.17,0.55,10.4,1011
7.7,1.005,0.15,2.1,0.102,32,0.99604,3.23,0.48,10,1012
7.5,0.71,0,1.6,0.092,31,0.99635,3.38,0.58,10,1013
8,0.58,0.16,2,0.12,7,0.99454,3.22,0.58,11.2,1014
8.9,0.38,0.4,2.2,0.068,28,0.99486,3.27,0.75,12.6,1016
8,0.18,0.37,0.9,0.049,109,0.99007,2.89,0.44,12.7,1018
7,0.5,0.14,1.8,0.078,23,0.99636,3.53,0.61,10.4,1019
11.3,0.36,0.66,2.4,0.123,8,0.99642,3.2,0.53,11.9,1020
11.3,0.36,0.66,2.4,0.123,8,0.99642,3.2,0.53,11.9,1021
7,0.51,0.09,2.1,0.062,9,0.99584,3.35,0.54,10.5,1022
8.2,0.32,0.42,2.3,0.098,9,0.99506,3.27,0.55,12.3,1023
7.7,0.58,0.01,1.8,0.088,18,0.99568,3.32,0.56,10.5,1024
8.6,0.83,0,2.8,0.095,43,0.99822,3.33,0.6,10.4,1025
7.9,0.31,0.32,1.9,0.066,36,0.99364,3.41,0.56,12.6,1026
6.4,0.795,0,2.2,0.065,52,0.99378,3.49,0.52,11.6,1027
7.7,0.58,0.01,1.8,0.088,18,0.99568,3.32,0.56,10.5,1029
8.1,0.82,0,4.1,0.095,14,0.99854,3.36,0.53,9.6,1032
8.9,0.745,0.18,2.5,0.077,48,0.99739,3.2,0.47,9.7,1034
10.1,0.37,0.34,2.4,0.085,17,0.99683,3.17,0.65,10.6,1035
7.6,0.31,0.34,2.5,0.082,35,0.99356,3.22,0.59,12.5,1036
8.7,0.41,0.41,6.2,0.078,42,0.9953,3.24,0.77,12.6,1038
8.9,0.5,0.21,2.2,0.088,39,0.99692,3.33,0.83,11.1,1039
6.9,0.49,0.19,1.7,0.079,26,0.99547,3.38,0.64,9.8,1041
6.4,0.39,0.33,3.3,0.046,53,0.99294,3.36,0.62,12.2,1044
6.9,0.44,0,1.4,0.07,38,0.99438,3.32,0.58,11.4,1045
7.6,0.78,0,1.7,0.076,45,0.99612,3.31,0.62,10.7,1046
7.1,0.43,0.17,1.8,0.082,51,0.99634,3.49,0.64,10.4,1047
9.3,0.49,0.36,1.7,0.081,14,0.99702,3.27,0.78,10.9,1048
9.3,0.5,0.36,1.8,0.084,17,0.99704,3.27,0.77,10.8,1049
8.5,0.46,0.59,1.4,0.414,45,0.99702,3.03,1.34,9.2,1051
5.6,0.605,0.05,2.4,0.073,25,0.99258,3.56,0.55,12.9,1052
8.3,0.33,0.42,2.3,0.07,20,0.99426,3.38,0.77,12.7,1053
8.2,0.64,0.27,2,0.095,77,0.99747,3.13,0.62,9.1,1055
8.9,0.48,0.53,4,0.101,10,0.99586,3.21,0.59,12.1,1056
7.6,0.42,0.25,3.9,0.104,90,0.99784,3.15,0.57,9.1,1057
9.9,0.53,0.57,2.4,0.093,52,0.9971,3.19,0.76,11.6,1058
8.9,0.48,0.53,4,0.101,10,0.99586,3.21,0.59,12.1,1059
11.6,0.23,0.57,1.8,0.074,8,0.9981,3.14,0.7,9.9,1060
